platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,knowledge_gap_type
YouTube,big cat pet,Big Cat,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,Ugzr4zPV285c3YIxaox4AaABAg,ThatCat should b in a Room of His Own 😮,2024-09-15T06:02:44Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),thatcat should b in a room of his own,Interest Without Knowledge
YouTube,big cat pet,Big Cat,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgymWIN_iMJ5gl2-Qmh4AaABAg,Danger? Theyare most friendly big cats i ever saw in internet,2024-01-27T16:27:05Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),danger theyare most friendly big cats i ever saw in internet,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,gxC1dF404q8,"The worlds largest cat. Guinness, book of world records three times.  Liger MyrtleBeachSafari",,UgyQVUNLXK0rIZzsitB4AaABAg,God Bless the Cat he or she is Beautiful ❤Stay BraveSafe Lady ❗️,2024-08-02T11:31:49Z,https://www.youtube.com/watch?v=gxC1dF404q8,US,US (text signal),god bless the cat he or she is beautiful stay bravesafe lady,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,0gliCKfaFp0,"When you&#39;re trying to raise a cougar, and at the end, a kiss💋  #braige #animals #cat #bigcat",,UgwPZ_en2YaA8vhL8Dx4AaABAg,Respects your dominance. It knows in flight-or-fight mommas gonna do damage. Such wisdom from animals is super endearing.,2024-09-19T02:03:01Z,https://www.youtube.com/watch?v=0gliCKfaFp0,US,US (text signal),respects your dominance it knows in flight or fight mommas gonna do damage such wisdom from animals is super endearing,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgyKISIeebZY97EJR_B4AaABAg,I've never bought a cat. They just come to me as strangers and the second day we are friends,2021-01-09T23:13:19Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),i've never bought a cat they just come to me as strangers and the second day we are friends,Interest Without Knowledge
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgwIEHfHxRqlW1HpIvx4AaABAg,"In South Carolina I can own a tiger, a bear, or basically any exotic animal. But I can’t own a DEER. What the heck",2017-12-07T00:16:57Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,South Carolina,in south carolina i can own a tiger a bear or basically any exotic animal but i can t own a deer what the heck,Interest Without Knowledge
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,Ugx2D9XbglZ0WX0q5Kp4AaABAg,"""this is the cat for your family"" ok let me just get  the 20k i have laying around, and go and get one...",2017-12-04T17:47:09Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),this is the cat for your family ok let me just get the 20k i have laying around and go and get one,Interest Without Knowledge
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgwOAKngP3zd_zdHfDR4AaABAg,"I remember when I was growing up, we found 2 kittens. We kept them for a couple of months, but one of them was normal with a slight mean streak and the other seemed to have mental issues. The normal one would give us the killer look,  but never attacked us. At night, she would just walk up and down on us while we slept in our beds like she was prowling and protecting us. We were just kids then. We always had cats, but they were different and we never knew what type of kittens we had gotten. They were loyal and liked to play along with cuddles, but we had to get rid of them because they would not use the litter box no matter how hard we tried. I’m looking at this video, and the Savannah cats look exactly like them and I am certain they were Savannah. Same spots, slender bodies, and big in size for cats under a year old.",2020-08-17T23:33:55Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),i remember when i was growing up we found 2 kittens we kept them for a couple of months but one of them was normal with a slight mean streak and the other seemed to have mental issues the normal one would give us the killer look but never attacked us at night she would just walk up and down on us while we slept in our beds like she was prowling and protecting us we were just kids then we always had cats but they were different and we never knew what type of kittens we had gotten they were loyal and liked to play along with cuddles but we had to get rid of them because they would not use the litter box no matter how hard we tried i m looking at this video and the savannah cats look exactly like them and i am certain they were savannah same spots slender bodies and big in size for cats under a year old,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,Ugw4ztumtdJUBmLTwzR4AaABAg,"""they also do this thing called a snake hiss"" *cat hisses* ma'am have you ever owned a domestic cat because I'm fairly certain they All hiss, Smh",2017-12-02T03:19:29Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),they also do this thing called a snake hiss cat hisses ma'am have you ever owned a domestic cat because i'm fairly certain they all hiss smh,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,Ugy3A2JSTkDG9_AWeFd4AaABAg,"We believe one of our cats is an F2. His markings are identical to most savannah cats, he loves water, and he definitely acts quite wild. He’s currently in his teething phase and I can definitely confirm they have really sharp teeth and claws. Luckily we didn’t have to pay 20,000 dollars we got him from a shelter.",2018-11-12T09:27:22Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),we believe one of our cats is an f2 his markings are identical to most savannah cats he loves water and he definitely acts quite wild he s currently in his teething phase and i can definitely confirm they have really sharp teeth and claws luckily we didn t have to pay 20 000 dollars we got him from a shelter,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,Ddp1EOOTMUc,The Biggest Cat That Still Purrs 🐆🔊.,The Biggest Cat That Still Purrs #shorts #shortsfeed #viralshorts.,UgzeyfZARSL1KebmAhl4AaABAg,"Now tell us how to raise "" A Great White Shark,in our pool "" ❗",2025-09-28T17:55:55Z,https://www.youtube.com/watch?v=Ddp1EOOTMUc,US,US (text signal),now tell us how to raise a great white shark in our pool,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,-2lrVyMgXPk,This Fluffy Giant Is Actually a Cat?! 🐱Meet the Maine Coon 🐾,"Think your cat is big? Think again! Meet the Maine Coon, the gentle giant of the cat world! With their massive size, tufted ears, ...",Ugzntq1wVsEpji5SPlt4AaABAg,"I know why their coats are waterproof, they shed faster than rain can fall. Mine eats more than me and when he plays he isn't gentle, I have to wear falconer's gauntlets.",2025-07-20T10:31:39Z,https://www.youtube.com/watch?v=-2lrVyMgXPk,US,US (text signal),i know why their coats are waterproof they shed faster than rain can fall mine eats more than me and when he plays he isn't gentle i have to wear falconer's gauntlets,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,YR-6BF4ujfk,Chloe the Serval gets carried,,Ugzp6tG9fDMlk4JpOKp4AaABAg,My orange cat will kill me if I pick him up..,2026-02-06T18:38:48Z,https://www.youtube.com/watch?v=YR-6BF4ujfk,US,US (text signal),my orange cat will kill me if i pick him up,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,euc5Z7rjqTI,Actions were performed by a professional 😸,,Ugw7qTmxcHDbGo7jNwN4AaABAg,PUMBA: Y ARE YOU PETTING ME IN MY MEAL TIME YOU WANNA BE ATTACKED LIKE A CAT!?,2025-02-19T21:33:07Z,https://www.youtube.com/watch?v=euc5Z7rjqTI,US,US (text signal),pumba y are you petting me in my meal time you wanna be attacked like a cat,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,euc5Z7rjqTI,Actions were performed by a professional 😸,,UgzxdWNoa8LNwLuu5Zp4AaABAg,"The big cat be like ""Listen man. I ain't tryina  look for any trouble. Let me eat in peace.""",2024-04-11T20:21:25Z,https://www.youtube.com/watch?v=euc5Z7rjqTI,US,US (text signal),the big cat be like listen man i ain't tryina look for any trouble let me eat in peace,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,l5T0L3wSbRw,Cat Is Cat No Matter Whats The Size ❤️,shorts #cat #cats #cougar #mountainlion #puma #ghostcat #bigcat #bigcats #animal #animals #animalfacts #animalshorts ...,UgzfQmR9X8GNIClbl6R4AaABAg,I love these cats. But to be woke up in the middle of the night by one screaming outside the cabin was absolutely terrifying!!!,2025-11-05T22:29:38Z,https://www.youtube.com/watch?v=l5T0L3wSbRw,US,US (text signal),i love these cats but to be woke up in the middle of the night by one screaming outside the cabin was absolutely terrifying,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,l5T0L3wSbRw,Cat Is Cat No Matter Whats The Size ❤️,shorts #cat #cats #cougar #mountainlion #puma #ghostcat #bigcat #bigcats #animal #animals #animalfacts #animalshorts ...,Ugxdud7bcjyzjb1xEJZ4AaABAg,"I must correct you---Jaguars are larger than Mountain Lions and still live in pockets of Mexico, i.e., North America.  That said, I must say I love Mountain Lions and wish they still lived in the wild where I live. Our West Virginia wildlife center has them.  I once jumped the containment fence and petted one through the chainlink wire. It purred ❤",2025-09-25T16:40:39Z,https://www.youtube.com/watch?v=l5T0L3wSbRw,US,West Virginia,i must correct you jaguars are larger than mountain lions and still live in pockets of mexico i e north america that said i must say i love mountain lions and wish they still lived in the wild where i live our west virginia wildlife center has them i once jumped the containment fence and petted one through the chainlink wire it purred,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,Ugw6xXY_f7M_manSeU54AaABAg,Fun Fact: Labrador puppies do that to me too.,2025-07-07T13:52:59Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),fun fact labrador puppies do that to me too,Harm From Lack of Knowledge
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgymrtN1EJGjfkLaFEB4AaABAg,That meow has convinced me to adopt a cheetah 🐆😺,2025-07-07T15:23:41Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),that meow has convinced me to adopt a cheetah,Interest Without Knowledge
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgzvA8_q-L3cHA3cQgF4AaABAg,“They act more like overgrown house cats.” My house cat attacked me. He was playing but he still left a scar. 😅,2025-07-13T19:43:02Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),they act more like overgrown house cats my house cat attacked me he was playing but he still left a scar,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgwBgC3lS4BSDeXcwBp4AaABAg,I dont think people understand. That leapord using its claws and muscles did a vertical ascent with a whole meal in its mouth. Most of us can't even do 3 or 4 pull up with 20lbs on our back.,2025-07-15T20:37:17Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),i dont think people understand that leapord using its claws and muscles did a vertical ascent with a whole meal in its mouth most of us can't even do 3 or 4 pull up with 20lbs on our back,Harm From Lack of Knowledge
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,Ugyupcaeq5pfVix1QrN4AaABAg,"Las leonas tambien permiten el acercamiento humano cuando estan fuera, excepto si te ven cerca de sus cubiles o donde estan los familiares mas jovenes, a diferencia del macho que es impredecible y te puede atacar como pasar de ti.",2025-08-01T16:24:41Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),las leonas tambien permiten el acercamiento humano cuando estan fuera excepto si te ven cerca de sus cubiles o donde estan los familiares mas jovenes a diferencia del macho que es impredecible y te puede atacar como pasar de ti,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgzKZUyv46B0Q-baXR94AaABAg,"I want to buy one so bad 😭.

 You can find cheetah kittens online for like 5k , but i dotn think I have enough space for them to run around in and i doubt the local dog park would allow a cheetah off the leash 😢",2025-07-15T23:38:50Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),i want to buy one so bad you can find cheetah kittens online for like 5k but i dotn think i have enough space for them to run around in and i doubt the local dog park would allow a cheetah off the leash,Interest Without Knowledge
YouTube,big cat pet,Big Cat,IgQ_iBbNw8I,She Recorded The Growth Of Her Mainecoon 😱😂 - WorldBeAmazed,"She documented the growth of her Maine Coon by recording monthly videos of her cat. With each passing month, the cat grew ...",UgzNkWlz-9AvudYAIK14AaABAg,NY needs those for that rat issue 😂,2023-09-24T05:23:39Z,https://www.youtube.com/watch?v=IgQ_iBbNw8I,US,US (text signal),ny needs those for that rat issue,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,IgQ_iBbNw8I,She Recorded The Growth Of Her Mainecoon 😱😂 - WorldBeAmazed,"She documented the growth of her Maine Coon by recording monthly videos of her cat. With each passing month, the cat grew ...",UgwlYeAJSFTJjjjmSxJ4AaABAg,"A lady who shops at my job came in with a baby mainecoon. It was her first cat and the only reason she got him was because her dad found it abandoned near his barn. As a person who has grown up in a family with a high pet count of 12 cats, 17 dogs, and 20 other animals in the past 22 years of my life, I told her my knowledge of cats as best I could but I never owned a mainecoon my self. She came back 2 months later and showed me a pick and let me know he was healthy and happy.",2023-08-13T18:31:50Z,https://www.youtube.com/watch?v=IgQ_iBbNw8I,US,US (text signal),a lady who shops at my job came in with a baby mainecoon it was her first cat and the only reason she got him was because her dad found it abandoned near his barn as a person who has grown up in a family with a high pet count of 12 cats 17 dogs and 20 other animals in the past 22 years of my life i told her my knowledge of cats as best i could but i never owned a mainecoon my self she came back 2 months later and showed me a pick and let me know he was healthy and happy,Interest Without Knowledge
YouTube,big cat pet,Big Cat,IgQ_iBbNw8I,She Recorded The Growth Of Her Mainecoon 😱😂 - WorldBeAmazed,"She documented the growth of her Maine Coon by recording monthly videos of her cat. With each passing month, the cat grew ...",UgxYFc4ZdZSE3eSCloJ4AaABAg,"Maine Coons, the Great Danes of the cat world . But DAMN that cat got big.",2023-07-28T06:57:14Z,https://www.youtube.com/watch?v=IgQ_iBbNw8I,US,Maine,maine coons the great danes of the cat world but damn that cat got big,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,IgQ_iBbNw8I,She Recorded The Growth Of Her Mainecoon 😱😂 - WorldBeAmazed,"She documented the growth of her Maine Coon by recording monthly videos of her cat. With each passing month, the cat grew ...",Ugymx0jyBa6odJRPCM54AaABAg,"That beautiful kitty cat is a giant !!

It would eat me out of house and home !!",2023-07-20T07:24:35Z,https://www.youtube.com/watch?v=IgQ_iBbNw8I,US,US (text signal),that beautiful kitty cat is a giant it would eat me out of house and home,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,UaZ_jBYBYQA,Big Cat Mouthing Affection! AMAZING,Book a tour here: https://www.singlevisioninc.org.,UgzQKTAX3Or_-RmPOf54AaABAg,“Many animals do this as a sign of affection” must be why my gf bites me all the time 😂😂,2022-09-15T03:19:08Z,https://www.youtube.com/watch?v=UaZ_jBYBYQA,US,US (text signal),many animals do this as a sign of affection must be why my gf bites me all the time,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,Ugx7559Z0rWFXRPAv-J4AaABAg,“Hey honey how was work” “oh yknow gave a lion some drugs”,2022-09-26T16:05:20Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),hey honey how was work oh yknow gave a lion some drugs,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,Ugx8DfMHc5fH7MtZtAJ4AaABAg,Big kitty “oh yeah that’s the good stuff”,2022-07-05T20:37:15Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),big kitty oh yeah that s the good stuff,Interest Without Knowledge
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,UgyqdBDltVr__6qJsOR4AaABAg,"Cats are cats, big or small. They all yield to the kitty crack.",2023-12-01T05:29:22Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),cats are cats big or small they all yield to the kitty crack,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,Ugxrsdb533s2wO02B1h4AaABAg,"Lioness: ""Damn! No wonder my cousins told me that stuff is good!""",2022-07-07T22:31:11Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),lioness damn no wonder my cousins told me that stuff is good,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,UgyLV92bMoIqx4gbiud4AaABAg,"Lion comes running at you... life saver, Big bag of catnip in his face. 😂",2023-12-12T17:27:31Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),lion comes running at you life saver big bag of catnip in his face,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,UgzrQu5-GhRJxGA1O854AaABAg,"Am showing this to my wife. I give Princesses Myu catnip about every 2 1/2 months and she digs it. Myu is my baby. I rescued her at what my vet determined was about 11 days old. Until that day I was honestly not a cat person. But that day I determined to be her papa and learned a whole lotta shit from my vet. I became a mother cat for a kitty. It was awesome! And when I learned my princess could have catnip I gave it a go, she loved it! My wife FREAKED out. I backed it up with research and verified professionals but this did not deter my wife from believing I was introducing our beloved 王女さま (princess as we live in Japan) to the devils lettuce. Maybe it’ll change her mind, maybe it won’t. Either way I know big cats and my princess both love to roll with this shit the same way👍🏻",2022-12-26T12:48:43Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),am showing this to my wife i give princesses myu catnip about every 2 1 2 months and she digs it myu is my baby i rescued her at what my vet determined was about 11 days old until that day i was honestly not a cat person but that day i determined to be her papa and learned a whole lotta shit from my vet i became a mother cat for a kitty it was awesome and when i learned my princess could have catnip i gave it a go she loved it my wife freaked out i backed it up with research and verified professionals but this did not deter my wife from believing i was introducing our beloved princess as we live in japan to the devils lettuce maybe it ll change her mind maybe it won t either way i know big cats and my princess both love to roll with this shit the same way,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,McfgvFUO4fM,Lions Reaction To Catnip! SO CUTE,Binta's reaction to catnip!,UgxsgmU-VLAjMkSL6wl4AaABAg,"My cat gets insane on the nip. I can’t imagine her being as big as this lion and being that crazy, and me being that close. 🤣😂",2022-07-15T13:25:32Z,https://www.youtube.com/watch?v=McfgvFUO4fM,US,US (text signal),my cat gets insane on the nip i can t imagine her being as big as this lion and being that crazy and me being that close,Interested but Fearful of Harm
